signal_id,symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source,telegram_message_id,initial_sl,trail_activate,trail_lock,sl_pct,leverage,margin_usd,position_usd,max_hold_candles
20260924-071237-001,LTC-USDT,LONG,S3,کرونوس (Cronus),67.10000000,64.41600000,0.00000000,2026-09-24 07:12:37,CLOSED,TRAIL_STOP,2026-09-24 08:12:25,68.72000000,0.200000,2.214307,10.00,2.414307,titan_signal,14958,64.41600000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260924-071238-002,LTC-USDT,LONG,B1,هایپریون (Hyperion),67.10000000,64.41600000,0.00000000,2026-09-24 07:12:38,CLOSED,TRAIL_STOP,2026-09-24 08:12:25,68.72000000,0.200000,2.214307,10.00,2.414307,titan_signal,14959,64.41600000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260924-081235-003,LTC-USDT,LONG,S3,کرونوس (Cronus),68.02000000,65.29920000,0.00000000,2026-09-24 08:12:35,CLOSED,TRAIL_STOP,2026-09-24 08:31:20,68.55100000,0.200000,0.580653,10.00,0.780653,titan_signal,14962,65.29920000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260924-081236-004,LTC-USDT,LONG,B1,هایپریون (Hyperion),68.02000000,65.29920000,0.00000000,2026-09-24 08:12:36,CLOSED,TRAIL_STOP,2026-09-24 08:31:20,68.55100000,0.200000,0.580653,10.00,0.780653,titan_signal,14963,65.29920000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260924-081246-005,INJ-USDT,LONG,S3,کرونوس (Cronus),7.96100000,7.64256000,0.00000000,2026-09-24 08:12:46,CLOSED,TRAIL_STOP,2026-09-24 08:31:21,8.07080000,0.200000,1.179224,10.00,1.379224,titan_signal,14964,7.64256000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260924-081248-006,INJ-USDT,LONG,B1,هایپریون (Hyperion),7.96100000,7.64256000,0.00000000,2026-09-24 08:12:48,CLOSED,TRAIL_STOP,2026-09-24 08:31:21,8.07080000,0.200000,1.179224,10.00,1.379224,titan_signal,14965,7.64256000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260924-083131-007,LTC-USDT,LONG,S3,کرونوس (Cronus),68.48000000,65.74080000,0.00000000,2026-09-24 08:31:31,CLOSED,TRAIL_STOP,2026-09-24 11:31:35,68.94800000,0.200000,0.483411,10.00,0.683411,titan_signal,14970,65.74080000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260924-083132-008,LTC-USDT,LONG,B1,هایپریون (Hyperion),68.48000000,65.74080000,0.00000000,2026-09-24 08:31:32,CLOSED,TRAIL_STOP,2026-09-24 11:31:36,68.94800000,0.200000,0.483411,10.00,0.683411,titan_signal,14971,65.74080000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260924-083140-009,INJ-USDT,LONG,S3,کرونوس (Cronus),8.07600000,7.75296000,0.00000000,2026-09-24 08:31:40,CLOSED,STOP_HIT,2026-09-24 12:13:28,7.75296000,0.200000,-4.200000,10.00,-4.000000,titan_signal,14972,7.75296000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260924-083141-010,INJ-USDT,LONG,B1,هایپریون (Hyperion),8.07600000,7.75296000,0.00000000,2026-09-24 08:31:41,CLOSED,STOP_HIT,2026-09-24 12:13:28,7.75296000,0.200000,-4.200000,10.00,-4.000000,titan_signal,14973,7.75296000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260924-113146-011,LTC-USDT,LONG,S3,کرونوس (Cronus),68.87000000,66.11520000,0.00000000,2026-09-24 11:31:46,CLOSED,STOP_HIT,2026-09-24 13:12:09,66.11520000,0.200000,-4.200000,10.00,-4.000000,titan_signal,14976,66.11520000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260924-113147-012,LTC-USDT,LONG,B1,هایپریون (Hyperion),68.87000000,66.11520000,0.00000000,2026-09-24 11:31:47,CLOSED,STOP_HIT,2026-09-24 13:12:10,66.11520000,0.200000,-4.200000,10.00,-4.000000,titan_signal,14977,66.11520000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260924-131219-013,LTC-USDT,LONG,S1,پرومتئوس (Prometheus),67.22000000,64.53120000,0.00000000,2026-09-24 13:12:19,OPEN,,,,,,10.00,,titan_signal,14982,64.53120000,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260924-131221-014,LTC-USDT,LONG,S3,کرونوس (Cronus),67.22000000,64.53120000,0.00000000,2026-09-24 13:12:21,OPEN,,,,,,10.00,,titan_signal,14983,64.53120000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260924-131222-015,LTC-USDT,LONG,B1,هایپریون (Hyperion),67.22000000,64.53120000,0.00000000,2026-09-24 13:12:22,OPEN,,,,,,10.00,,titan_signal,14984,64.53120000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260924-161717-016,INJ-USDT,LONG,S3,کرونوس (Cronus),8.01000000,7.68960000,0.00000000,2026-09-24 16:17:17,OPEN,,,,,,10.00,,titan_signal,14985,7.68960000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260924-161719-017,INJ-USDT,LONG,B1,هایپریون (Hyperion),8.01000000,7.68960000,0.00000000,2026-09-24 16:17:19,OPEN,,,,,,10.00,,titan_signal,14986,7.68960000,0.003000,0.9000,0.0400,10,10.00,100.00,96
