signal_id,symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source,telegram_message_id,initial_sl,trail_activate,trail_lock,sl_pct,leverage,margin_usd,position_usd,max_hold_candles
20260911-071424-001,BTC-USDT,SHORT,S3,کرونوس (Cronus),76859.30000000,79933.67200000,0.00000000,2026-09-11 07:14:24,CLOSED,TRAIL_STOP,2026-09-11 16:18:18,76125.44000000,0.200000,0.754810,10.00,0.954810,titan_signal,7530,79933.67200000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071426-002,ETH-USDT,SHORT,S3,کرونوس (Cronus),2446.82000000,2544.69280000,0.00000000,2026-09-11 07:14:26,CLOSED,TRAIL_STOP,2026-09-11 16:18:19,2434.95800000,0.200000,0.284793,10.00,0.484793,titan_signal,7531,2544.69280000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071427-003,BNB-USDT,SHORT,S3,کرونوس (Cronus),712.21600000,740.70464000,0.00000000,2026-09-11 07:14:27,CLOSED,TRAIL_STOP,2026-09-11 16:18:19,707.34160000,0.200000,0.484399,10.00,0.684399,titan_signal,7532,740.70464000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071429-004,SOL-USDT,SHORT,S3,کرونوس (Cronus),99.38000000,103.35520000,0.00000000,2026-09-11 07:14:29,CLOSED,TRAIL_STOP,2026-09-11 13:14:18,99.07400000,0.200000,0.107909,10.00,0.307909,titan_signal,7533,103.35520000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071433-005,XRP-USDT,SHORT,S3,کرونوس (Cronus),1.34271000,1.39641840,0.00000000,2026-09-11 07:14:33,CLOSED,TRAIL_STOP,2026-09-11 13:14:18,1.33794900,0.200000,0.154581,10.00,0.354581,titan_signal,7534,1.39641840,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071435-006,DOGE-USDT,SHORT,S3,کرونوس (Cronus),0.08364000,0.08698560,0.00000000,2026-09-11 07:14:35,CLOSED,TRAIL_STOP,2026-09-11 13:14:19,0.08340600,0.200000,0.079770,10.00,0.279770,titan_signal,7535,0.08698560,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071439-007,SUI-USDT,SHORT,S3,کرونوس (Cronus),0.73680000,0.76627200,0.00000000,2026-09-11 07:14:39,CLOSED,TRAIL_STOP,2026-09-11 12:47:25,0.73455000,0.200000,0.105375,10.00,0.305375,titan_signal,7536,0.76627200,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071440-008,DOT-USDT,LONG,S3,کرونوس (Cronus),1.12470000,1.07971200,0.00000000,2026-09-11 07:14:40,CLOSED,TRAIL_STOP,2026-09-11 08:14:17,1.13487000,0.200000,0.704241,10.00,0.904241,titan_signal,7537,1.07971200,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071441-009,DOT-USDT,LONG,B1,هایپریون (Hyperion),1.12470000,1.07971200,0.00000000,2026-09-11 07:14:41,CLOSED,TRAIL_STOP,2026-09-11 08:14:17,1.13487000,0.200000,0.704241,10.00,0.904241,titan_signal,7538,1.07971200,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260911-071443-010,ADA-USDT,SHORT,S3,کرونوس (Cronus),0.20750000,0.21580000,0.00000000,2026-09-11 07:14:43,CLOSED,TRAIL_STOP,2026-09-11 12:47:25,0.20678000,0.200000,0.146988,10.00,0.346988,titan_signal,7539,0.21580000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071447-011,LINK-USDT,SHORT,S3,کرونوس (Cronus),11.48750000,11.94700000,0.00000000,2026-09-11 07:14:47,CLOSED,TRAIL_STOP,2026-09-11 11:48:31,11.45159000,0.200000,0.112601,10.00,0.312601,titan_signal,7540,11.94700000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071449-012,AVAX-USDT,SHORT,S3,کرونوس (Cronus),7.46600000,7.76464000,0.00000000,2026-09-11 07:14:49,CLOSED,TRAIL_STOP,2026-09-11 13:14:19,7.38590000,0.200000,0.872864,10.00,1.072864,titan_signal,7541,7.76464000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071450-013,ATOM-USDT,SHORT,S3,کرونوس (Cronus),1.76130000,1.83175200,0.00000000,2026-09-11 07:14:50,CLOSED,TRAIL_STOP,2026-09-11 10:18:22,1.75455000,0.200000,0.183240,10.00,0.383240,titan_signal,7542,1.83175200,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260911-071452-014,FIL-USDT,SHORT,S3,کرونوس (Cronus),0.78870000,0.82024800,0.00000000,2026-09-11 07:14:52,CLOSED,TRAIL_STOP,2026-09-11 07:48:44,0.78636000,0.200000,0.096691,10.00,0.296691,titan_signal,7543,0.82024800,0.003000,0.9000,0.0400,10,10.00,100.00,120
