symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BNB-USDT,LONG,S3,کرونوس (Cronus),724.10600000,695.14176000,0.00000000,2026-09-05 07:11:45,CLOSED,TRAIL_STOP,2026-09-05 06:44:00,727.26050000,0.200000,0.235641,10.00,0.435641,titan_signal
BNB-USDT,LONG,B1,هایپریون (Hyperion),724.10600000,695.14176000,0.00000000,2026-09-05 07:11:46,CLOSED,TRAIL_STOP,2026-09-05 06:44:01,727.26050000,0.200000,0.235641,10.00,0.435641,titan_signal
XRP-USDT,SHORT,S2,ایاپتوس (Iapetus),1.39971000,1.45569840,0.00000000,2026-09-05 07:11:49,OPEN,,,,,,10.00,,titan_signal
XRP-USDT,SHORT,S3,کرونوس (Cronus),1.39971000,1.45569840,0.00000000,2026-09-05 07:11:50,CLOSED,TRAIL_STOP,2026-09-05 04:16:06,1.39592100,0.200000,0.070699,10.00,0.270699,titan_signal
XRP-USDT,SHORT,B2,اطلس (Atlas),1.39971000,1.45569840,0.00000000,2026-09-05 07:11:51,OPEN,,,,,,10.00,,titan_signal
XAUT-USDT,SHORT,S3,کرونوس (Cronus),4426.83000000,4603.90320000,0.00000000,2026-09-05 07:11:52,OPEN,,,,,,10.00,,titan_signal
LTC-USDT,LONG,S3,کرونوس (Cronus),52.72000000,50.61120000,0.00000000,2026-09-05 07:11:54,CLOSED,TRAIL_STOP,2026-09-05 05:40:35,52.92700000,0.200000,0.192640,10.00,0.392640,titan_signal
LTC-USDT,LONG,B1,هایپریون (Hyperion),52.72000000,50.61120000,0.00000000,2026-09-05 07:11:55,CLOSED,TRAIL_STOP,2026-09-05 05:40:36,52.92700000,0.200000,0.192640,10.00,0.392640,titan_signal
DOGE-USDT,SHORT,S3,کرونوس (Cronus),0.08469000,0.08807760,0.00000000,2026-09-05 07:11:56,OPEN,,,,,,10.00,,titan_signal
NEAR-USDT,LONG,S3,کرونوس (Cronus),2.23560000,2.14617600,0.00000000,2026-09-05 07:11:59,CLOSED,TRAIL_STOP,2026-09-05 06:44:02,2.27250000,0.200000,1.450564,10.00,1.650564,titan_signal
NEAR-USDT,LONG,B1,هایپریون (Hyperion),2.23560000,2.14617600,0.00000000,2026-09-05 07:12:01,CLOSED,TRAIL_STOP,2026-09-05 06:44:02,2.27250000,0.200000,1.450564,10.00,1.650564,titan_signal
DOT-USDT,LONG,S1,پرومتئوس (Prometheus),0.89280000,0.85708800,0.00000000,2026-09-05 07:12:02,CLOSED,TRAIL_STOP,2026-09-05 06:20:20,0.90153000,0.200000,0.777823,10.00,0.977823,titan_signal
DOT-USDT,LONG,S3,کرونوس (Cronus),0.89280000,0.85708800,0.00000000,2026-09-05 07:12:03,CLOSED,TRAIL_STOP,2026-09-05 06:20:21,0.90153000,0.200000,0.777823,10.00,0.977823,titan_signal
DOT-USDT,LONG,B1,هایپریون (Hyperion),0.89280000,0.85708800,0.00000000,2026-09-05 07:12:05,CLOSED,TRAIL_STOP,2026-09-05 06:20:21,0.90153000,0.200000,0.777823,10.00,0.977823,titan_signal
ADA-USDT,SHORT,S2,ایاپتوس (Iapetus),0.21100000,0.21944000,0.00000000,2026-09-05 07:12:06,OPEN,,,,,,10.00,,titan_signal
