signal_id,symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source,telegram_message_id,initial_sl,trail_activate,trail_lock,sl_pct,leverage,margin_usd,position_usd,max_hold_candles
20260913-071300-001,BTC-USDT,SHORT,S3,کرونوس (Cronus),77210.50000000,80298.92000000,0.00000000,2026-09-13 07:13:00,OPEN,,,,,,10.00,,titan_signal,8186,80298.92000000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260913-071302-002,BNB-USDT,SHORT,S3,کرونوس (Cronus),727.72300000,756.83192000,0.00000000,2026-09-13 07:13:02,CLOSED,TRAIL_STOP,2026-09-13 09:55:44,724.55230000,0.200000,0.235701,10.00,0.435701,titan_signal,8187,756.83192000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260913-071303-003,SOL-USDT,LONG,S3,کرونوس (Cronus),101.93000000,97.85280000,0.00000000,2026-09-13 07:13:03,OPEN,,,,,,10.00,,titan_signal,8188,97.85280000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260913-071304-004,SOL-USDT,LONG,B1,هایپریون (Hyperion),101.93000000,97.85280000,0.00000000,2026-09-13 07:13:04,OPEN,,,,,,10.00,,titan_signal,8189,97.85280000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260913-071310-005,SUI-USDT,SHORT,S3,کرونوس (Cronus),0.72270000,0.75160800,0.00000000,2026-09-13 07:13:10,OPEN,,,,,,10.00,,titan_signal,8190,0.75160800,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260913-071312-006,NEAR-USDT,SHORT,S3,کرونوس (Cronus),2.34690000,2.44077600,0.00000000,2026-09-13 07:13:12,CLOSED,TRAIL_STOP,2026-09-13 08:45:52,2.33997000,0.200000,0.095283,10.00,0.295283,titan_signal,8191,2.44077600,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260913-071313-007,ADA-USDT,SHORT,S3,کرونوس (Cronus),0.20700000,0.21528000,0.00000000,2026-09-13 07:13:13,OPEN,,,,,,10.00,,titan_signal,8192,0.21528000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260913-071317-008,ATOM-USDT,SHORT,S3,کرونوس (Cronus),1.60060000,1.66462400,0.00000000,2026-09-13 07:13:17,CLOSED,TRAIL_STOP,2026-09-13 07:47:22,1.59619000,0.200000,0.075522,10.00,0.275522,titan_signal,8193,1.66462400,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260913-071323-009,PEPE-USDT,LONG,S3,کرونوس (Cronus),0.00000345,0.00000331,0.00000000,2026-09-13 07:13:23,CLOSED,TRAIL_STOP,2026-09-13 07:47:22,0.00000346,0.200000,0.139130,10.00,0.339130,titan_signal,8194,0.00000331,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260913-071324-010,PEPE-USDT,LONG,B1,هایپریون (Hyperion),0.00000345,0.00000331,0.00000000,2026-09-13 07:13:24,CLOSED,TRAIL_STOP,2026-09-13 07:47:22,0.00000346,0.200000,0.139130,10.00,0.339130,titan_signal,8195,0.00000331,0.003000,0.9000,0.0400,10,10.00,100.00,96
