signal_id,symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source,telegram_message_id,initial_sl,trail_activate,trail_lock,sl_pct,leverage,margin_usd,position_usd,max_hold_candles
20260917-071448-001,ETH-USDT,LONG,S3,کرونوس (Cronus),2437.46000000,2339.96160000,0.00000000,2026-09-17 07:14:48,CLOSED,TRAIL_STOP,2026-09-17 08:46:41,2445.33500000,0.200000,0.123082,10.00,0.323082,titan_signal,9628,2339.96160000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-071449-002,ETH-USDT,LONG,B1,هایپریون (Hyperion),2437.46000000,2339.96160000,0.00000000,2026-09-17 07:14:49,CLOSED,TRAIL_STOP,2026-09-17 08:46:42,2445.33500000,0.200000,0.123082,10.00,0.323082,titan_signal,9629,2339.96160000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-071451-003,BNB-USDT,LONG,S3,کرونوس (Cronus),725.66800000,696.64128000,0.00000000,2026-09-17 07:14:51,CLOSED,TRAIL_STOP,2026-09-17 15:52:42,731.73670000,0.200000,0.636292,10.00,0.836292,titan_signal,9630,696.64128000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-071452-004,BNB-USDT,LONG,B1,هایپریون (Hyperion),725.66800000,696.64128000,0.00000000,2026-09-17 07:14:52,CLOSED,TRAIL_STOP,2026-09-17 15:52:43,731.73670000,0.200000,0.636292,10.00,0.836292,titan_signal,9631,696.64128000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-071456-005,XAUT-USDT,SHORT,S3,کرونوس (Cronus),4296.24000000,4468.08960000,0.00000000,2026-09-17 07:14:56,OPEN,,,,,,10.00,,titan_signal,9632,4468.08960000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-071500-006,SUI-USDT,LONG,S3,کرونوس (Cronus),0.72110000,0.69225600,0.00000000,2026-09-17 07:15:00,CLOSED,TRAIL_STOP,2026-09-17 08:46:43,0.72308000,0.200000,0.074581,10.00,0.274581,titan_signal,9633,0.69225600,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-071501-007,SUI-USDT,LONG,B1,هایپریون (Hyperion),0.72110000,0.69225600,0.00000000,2026-09-17 07:15:01,CLOSED,TRAIL_STOP,2026-09-17 08:46:43,0.72308000,0.200000,0.074581,10.00,0.274581,titan_signal,9634,0.69225600,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-071503-008,NEAR-USDT,LONG,S3,کرونوس (Cronus),2.69330000,2.58556800,0.00000000,2026-09-17 07:15:03,CLOSED,TRAIL_STOP,2026-09-17 10:19:35,2.70770000,0.200000,0.334660,10.00,0.534660,titan_signal,9635,2.58556800,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-071504-009,NEAR-USDT,LONG,B1,هایپریون (Hyperion),2.69330000,2.58556800,0.00000000,2026-09-17 07:15:04,CLOSED,TRAIL_STOP,2026-09-17 10:19:35,2.70770000,0.200000,0.334660,10.00,0.534660,titan_signal,9636,2.58556800,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-071505-010,DOT-USDT,LONG,S1,پرومتئوس (Prometheus),1.01790000,0.97718400,0.00000000,2026-09-17 07:15:05,CLOSED,TRAIL_STOP,2026-09-17 14:14:29,1.02249000,0.200000,0.250928,10.00,0.450928,titan_signal,9637,0.97718400,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260917-071507-011,DOT-USDT,LONG,S3,کرونوس (Cronus),1.01790000,0.97718400,0.00000000,2026-09-17 07:15:07,CLOSED,TRAIL_STOP,2026-09-17 14:14:30,1.02249000,0.200000,0.250928,10.00,0.450928,titan_signal,9638,0.97718400,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-071508-012,DOT-USDT,LONG,B1,هایپریون (Hyperion),1.01790000,0.97718400,0.00000000,2026-09-17 07:15:08,CLOSED,TRAIL_STOP,2026-09-17 14:14:30,1.02249000,0.200000,0.250928,10.00,0.450928,titan_signal,9639,0.97718400,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-071512-013,AVAX-USDT,LONG,S3,کرونوس (Cronus),7.56000000,7.25760000,0.00000000,2026-09-17 07:15:12,CLOSED,TRAIL_STOP,2026-09-17 12:14:09,7.59240000,0.200000,0.228571,10.00,0.428571,titan_signal,9640,7.25760000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-071513-014,AVAX-USDT,LONG,B1,هایپریون (Hyperion),7.56000000,7.25760000,0.00000000,2026-09-17 07:15:13,CLOSED,TRAIL_STOP,2026-09-17 12:14:10,7.59240000,0.200000,0.228571,10.00,0.428571,titan_signal,9641,7.25760000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-071517-015,SEI-USDT,LONG,S3,کرونوس (Cronus),0.04317000,0.04144320,0.00000000,2026-09-17 07:15:17,CLOSED,TRAIL_STOP,2026-09-17 09:13:49,0.04330500,0.200000,0.112717,10.00,0.312717,titan_signal,9642,0.04144320,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-071518-016,SEI-USDT,LONG,B1,هایپریون (Hyperion),0.04317000,0.04144320,0.00000000,2026-09-17 07:15:18,CLOSED,TRAIL_STOP,2026-09-17 09:13:49,0.04330500,0.200000,0.112717,10.00,0.312717,titan_signal,9643,0.04144320,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-071520-017,TIA-USDT,LONG,S3,کرونوس (Cronus),0.34780000,0.33388800,0.00000000,2026-09-17 07:15:20,CLOSED,TRAIL_STOP,2026-09-17 10:49:37,0.34924000,0.200000,0.214031,10.00,0.414031,titan_signal,9644,0.33388800,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-071521-018,TIA-USDT,LONG,B1,هایپریون (Hyperion),0.34780000,0.33388800,0.00000000,2026-09-17 07:15:21,CLOSED,TRAIL_STOP,2026-09-17 10:49:37,0.34924000,0.200000,0.214031,10.00,0.414031,titan_signal,9645,0.33388800,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-071522-019,POL-USDT,LONG,S3,کرونوس (Cronus),0.09700000,0.09312000,0.00000000,2026-09-17 07:15:22,CLOSED,TRAIL_STOP,2026-09-17 15:52:43,0.09781000,0.200000,0.635052,10.00,0.835052,titan_signal,9646,0.09312000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-071524-020,POL-USDT,LONG,B1,هایپریون (Hyperion),0.09700000,0.09312000,0.00000000,2026-09-17 07:15:24,CLOSED,TRAIL_STOP,2026-09-17 15:52:44,0.09781000,0.200000,0.635052,10.00,0.835052,titan_signal,9647,0.09312000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-071543-021,SHIB-USDT,LONG,S1,پرومتئوس (Prometheus),0.00000499,0.00000479,0.00000000,2026-09-17 07:15:43,CLOSED,TRAIL_STOP,2026-09-17 08:46:47,0.00000501,0.200000,0.268938,10.00,0.468938,titan_signal,,0.00000479,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260917-071551-022,SHIB-USDT,LONG,S3,کرونوس (Cronus),0.00000499,0.00000479,0.00000000,2026-09-17 07:15:51,CLOSED,TRAIL_STOP,2026-09-17 08:46:47,0.00000501,0.200000,0.268938,10.00,0.468938,titan_signal,9648,0.00000479,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-074820-023,LTC-USDT,LONG,S1,پرومتئوس (Prometheus),51.97000000,49.89120000,0.00000000,2026-09-17 07:48:20,CLOSED,TRAIL_STOP,2026-09-17 08:46:48,52.13200000,0.200000,0.111718,10.00,0.311718,titan_signal,9649,49.89120000,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260917-074821-024,LTC-USDT,LONG,S3,کرونوس (Cronus),51.97000000,49.89120000,0.00000000,2026-09-17 07:48:21,CLOSED,TRAIL_STOP,2026-09-17 08:46:48,52.13200000,0.200000,0.111718,10.00,0.311718,titan_signal,9650,49.89120000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-074822-025,LTC-USDT,LONG,B1,هایپریون (Hyperion),51.97000000,49.89120000,0.00000000,2026-09-17 07:48:22,CLOSED,TRAIL_STOP,2026-09-17 08:46:48,52.13200000,0.200000,0.111718,10.00,0.311718,titan_signal,9651,49.89120000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-074826-026,SUI-USDT,LONG,S1,پرومتئوس (Prometheus),0.71730000,0.68860800,0.00000000,2026-09-17 07:48:26,CLOSED,TRAIL_STOP,2026-09-17 08:15:27,0.72009000,0.200000,0.188959,10.00,0.388959,titan_signal,9652,0.68860800,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260917-074828-027,NEAR-USDT,LONG,S1,پرومتئوس (Prometheus),2.66400000,2.55744000,0.00000000,2026-09-17 07:48:28,CLOSED,TRAIL_STOP,2026-09-17 08:15:28,2.68065000,0.200000,0.425000,10.00,0.625000,titan_signal,9653,2.55744000,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260917-074832-028,FIL-USDT,SHORT,S3,کرونوس (Cronus),0.79950000,0.83148000,0.00000000,2026-09-17 07:48:32,CLOSED,TRAIL_STOP,2026-09-17 08:15:28,0.79005000,0.200000,0.981989,10.00,1.181989,titan_signal,9654,0.83148000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-074836-029,POL-USDT,LONG,S1,پرومتئوس (Prometheus),0.09680000,0.09292800,0.00000000,2026-09-17 07:48:36,CLOSED,TRAIL_STOP,2026-09-17 15:52:44,0.09779000,0.200000,0.822727,10.00,1.022727,titan_signal,9655,0.09292800,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260917-074840-030,PEPE-USDT,LONG,S3,کرونوس (Cronus),0.00000345,0.00000331,0.00000000,2026-09-17 07:48:40,CLOSED,TRAIL_STOP,2026-09-17 08:15:29,0.00000347,0.200000,0.321739,10.00,0.521739,titan_signal,9656,0.00000331,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-081538-031,SOL-USDT,LONG,S3,کرونوس (Cronus),99.50000000,95.52000000,0.00000000,2026-09-17 08:15:38,CLOSED,TRAIL_STOP,2026-09-17 08:46:49,100.01300000,0.200000,0.315578,10.00,0.515578,titan_signal,9661,95.52000000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260917-081539-032,SOL-USDT,LONG,B1,هایپریون (Hyperion),99.50000000,95.52000000,0.00000000,2026-09-17 08:15:39,CLOSED,TRAIL_STOP,2026-09-17 08:46:50,100.01300000,0.200000,0.315578,10.00,0.515578,titan_signal,9662,95.52000000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260917-081546-033,SUI-USDT,LONG,S1,پرومتئوس (Prometheus),0.71890000,0.69014400,0.00000000,2026-09-17 08:15:46,CLOSED,TRAIL_STOP,2026-09-17 08:46:50,0.72592000,0.200000,0.776492,10.00,0.976492,titan_signal,9663,0.69014400,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260917-081548-034,NEAR-USDT,LONG,S1,پرومتئوس (Prometheus),2.67810000,2.57097600,0.00000000,2026-09-17 08:15:48,CLOSED,TRAIL_STOP,2026-09-17 10:19:38,2.70618000,0.200000,0.848505,10.00,1.048505,titan_signal,9664,2.57097600,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260917-081552-035,LINK-USDT,LONG,S1,پرومتئوس (Prometheus),11.10460000,10.66041600,0.00000000,2026-09-17 08:15:52,CLOSED,TRAIL_STOP,2026-09-17 08:46:51,11.16472000,0.200000,0.341397,10.00,0.541397,titan_signal,9665,10.66041600,0.003000,0.9000,0.0400,10,10.00,100.00,72
