symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source,signal_id,telegram_message_id,initial_sl,trail_activate,trail_lock,sl_pct,leverage,margin_usd,position_usd,max_hold_candles
ETH-USDT,LONG,S3,کرونوس (Cronus),2490.77000000,2391.13920000,0.00000000,2026-09-09 07:14:34,CLOSED,TRAIL_STOP,2026-09-09 12:16:52,2501.75000000,0.200000,0.240828,10.00,0.440828,"[PASS] Candle Strength 15m: BS15=0.741 [>= 0.6];[PASS] Candle Strength 5m: BS5=0.603 [>= 0.6];[PASS] EMA Trend 1h: EMA21=2487.94, EMA50=2487.41;[PASS] EMA Trend 4h: EMA21=2484.24, EMA50=2470.13, EMA200=2252.80;[PASS] RSI 30m: RSI=51.91;[PASS] MACD 30m: MACD_hist=0.1084;[FAIL] Smart Pullback: price=2490.7700 EMA=2489.3724 RSI=51.9 BS=0.741;[FAIL] ADX: ADX=18.51 [>22], DI+=20.58, DI-=16.52;[PASS] CCI Momentum: CCI=16.00;[PASS] SAR: SAR=2486.9522, price=2490.7700;[FAIL] Stochastic: K=57.08 D=57.08;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0008 [>0.005];[FAIL] Combined Range Filter: diff=0.0008, ADX=18.51, mode=AND",,,,,,,,,,
ETH-USDT,LONG,B1,هایپریون (Hyperion),2490.77000000,2391.13920000,0.00000000,2026-09-09 07:14:35,CLOSED,TRAIL_STOP,2026-09-09 12:16:53,2501.75000000,0.200000,0.240828,10.00,0.440828,"[PASS] Candle Strength 15m: BS15=0.741 [>= 0.6];[PASS] Candle Strength 5m: BS5=0.603 [>= 0.6];[PASS] EMA Trend 1h: EMA21=2487.94, EMA50=2487.41;[PASS] EMA Trend 4h: EMA21=2484.24, EMA50=2470.13, EMA200=2252.80;[PASS] RSI 30m: RSI=51.91;[PASS] MACD 30m: MACD_hist=0.1084;[FAIL] Smart Pullback: price=2490.7700 EMA=2489.3724 RSI=51.9 BS=0.741;[FAIL] ADX: ADX=18.51 [>22], DI+=20.58, DI-=16.52;[PASS] CCI Momentum: CCI=16.00;[PASS] SAR: SAR=2486.9522, price=2490.7700;[FAIL] Stochastic: K=57.08 D=57.08;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0008 [>0.005];[FAIL] Combined Range Filter: diff=0.0008, ADX=18.51, mode=OR",,,,,,,,,,
SOL-USDT,SHORT,S3,کرونوس (Cronus),103.31000000,107.44240000,0.00000000,2026-09-09 07:14:37,OPEN,,,,,,10.00,,"[PASS] Candle Strength 15m: BS15=0.774 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.462 [>= 0.6];[PASS] EMA Trend 1h: EMA21=103.50, EMA50=103.78;[FAIL] EMA Trend 4h: EMA21=103.73, EMA50=103.05, EMA200=91.92;[PASS] RSI 30m: RSI=47.86;[PASS] MACD 30m: MACD_hist=-0.0224;[FAIL] Smart Pullback: price=103.3100 EMA=103.4393 RSI=47.9 BS=0.774;[FAIL] ADX: ADX=17.69 [>22], DI+=19.02, DI-=16.65;[PASS] CCI Momentum: CCI=-62.93;[FAIL] SAR: SAR=102.9816, price=103.3100;[FAIL] Stochastic: K=40.68 D=40.68;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0008 [>0.005];[FAIL] Combined Range Filter: diff=0.0008, ADX=17.69, mode=AND",,,,,,,,,,
XRP-USDT,LONG,S1,پرومتئوس (Prometheus),1.41504000,1.35843840,0.00000000,2026-09-09 07:14:39,CLOSED,TRAIL_STOP,2026-09-09 12:16:53,1.43029500,0.200000,0.878061,10.00,1.078061,"[FAIL] Candle Strength 15m: BS15=0.810 [too high - likely end of move];[FAIL] Candle Strength 5m: BS5=0.469 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.41, EMA50=1.41;[PASS] EMA Trend 4h: EMA21=1.41, EMA50=1.40, EMA200=1.27;[FAIL] RSI 30m: RSI=49.10;[FAIL] MACD 30m: MACD_hist=-0.0015;[FAIL] Smart Pullback: price=1.4150 EMA=1.4167 RSI=49.1 BS=0.810;[PASS] ADX: ADX=30.18 [>22], DI+=22.32, DI-=15.72;[FAIL] CCI Momentum: CCI=-93.86;[PASS] SAR: SAR=1.4106, price=1.4150;[FAIL] Stochastic: K=14.99 D=14.99;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0031 [>0.005];[PASS] Combined Range Filter: diff=0.0031, ADX=30.18, mode=AND",,,,,,,,,,
XRP-USDT,LONG,S3,کرونوس (Cronus),1.41504000,1.35843840,0.00000000,2026-09-09 07:14:41,CLOSED,TRAIL_STOP,2026-09-09 12:16:54,1.43029500,0.200000,0.878061,10.00,1.078061,"[FAIL] Candle Strength 15m: BS15=0.810 [too high - likely end of move];[FAIL] Candle Strength 5m: BS5=0.469 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.41, EMA50=1.41;[PASS] EMA Trend 4h: EMA21=1.41, EMA50=1.40, EMA200=1.27;[FAIL] RSI 30m: RSI=49.10;[FAIL] MACD 30m: MACD_hist=-0.0015;[FAIL] Smart Pullback: price=1.4150 EMA=1.4167 RSI=49.1 BS=0.810;[PASS] ADX: ADX=30.18 [>22], DI+=22.32, DI-=15.72;[FAIL] CCI Momentum: CCI=-93.86;[PASS] SAR: SAR=1.4106, price=1.4150;[FAIL] Stochastic: K=14.99 D=14.99;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0031 [>0.005];[PASS] Combined Range Filter: diff=0.0031, ADX=30.18, mode=AND",,,,,,,,,,
XRP-USDT,LONG,B1,هایپریون (Hyperion),1.41504000,1.35843840,0.00000000,2026-09-09 07:14:42,CLOSED,TRAIL_STOP,2026-09-09 12:16:54,1.43029500,0.200000,0.878061,10.00,1.078061,"[FAIL] Candle Strength 15m: BS15=0.810 [too high - likely end of move];[FAIL] Candle Strength 5m: BS5=0.469 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.41, EMA50=1.41;[PASS] EMA Trend 4h: EMA21=1.41, EMA50=1.40, EMA200=1.27;[FAIL] RSI 30m: RSI=49.10;[FAIL] MACD 30m: MACD_hist=-0.0015;[FAIL] Smart Pullback: price=1.4150 EMA=1.4167 RSI=49.1 BS=0.810;[PASS] ADX: ADX=30.18 [>22], DI+=22.32, DI-=15.72;[FAIL] CCI Momentum: CCI=-93.86;[PASS] SAR: SAR=1.4106, price=1.4150;[FAIL] Stochastic: K=14.99 D=14.99;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0031 [>0.005];[PASS] Combined Range Filter: diff=0.0031, ADX=30.18, mode=OR",,,,,,,,,,
DOGE-USDT,LONG,S3,کرونوس (Cronus),0.08968000,0.08609280,0.00000000,2026-09-09 07:14:44,CLOSED,TRAIL_STOP,2026-09-09 12:16:55,0.09040000,0.200000,0.602855,10.00,0.802855,"[PASS] Candle Strength 15m: BS15=0.759 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.000 [>= 0.6];[PASS] EMA Trend 1h: EMA21=0.09, EMA50=0.09;[PASS] EMA Trend 4h: EMA21=0.09, EMA50=0.09, EMA200=0.08;[FAIL] RSI 30m: RSI=46.45;[FAIL] MACD 30m: MACD_hist=-0.0001;[PASS] Smart Pullback: price=0.0897 EMA=0.0899 RSI=46.4 BS=0.759;[FAIL] ADX: ADX=9.29 [>22], DI+=16.05, DI-=23.06;[FAIL] CCI Momentum: CCI=-93.63;[PASS] SAR: SAR=0.0894, price=0.0897;[FAIL] Stochastic: K=26.51 D=26.51;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_bottom;[FAIL] Range Filter: EMA diff=0.0000 [>0.005];[FAIL] Combined Range Filter: diff=0.0000, ADX=9.29, mode=AND",,,,,,,,,,
DOGE-USDT,LONG,B1,هایپریون (Hyperion),0.08968000,0.08609280,0.00000000,2026-09-09 07:14:45,CLOSED,TRAIL_STOP,2026-09-09 12:16:55,0.09040000,0.200000,0.602855,10.00,0.802855,"[PASS] Candle Strength 15m: BS15=0.759 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.000 [>= 0.6];[PASS] EMA Trend 1h: EMA21=0.09, EMA50=0.09;[PASS] EMA Trend 4h: EMA21=0.09, EMA50=0.09, EMA200=0.08;[FAIL] RSI 30m: RSI=46.45;[FAIL] MACD 30m: MACD_hist=-0.0001;[PASS] Smart Pullback: price=0.0897 EMA=0.0899 RSI=46.4 BS=0.759;[FAIL] ADX: ADX=9.29 [>22], DI+=16.05, DI-=23.06;[FAIL] CCI Momentum: CCI=-93.63;[PASS] SAR: SAR=0.0894, price=0.0897;[FAIL] Stochastic: K=26.51 D=26.51;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_bottom;[FAIL] Range Filter: EMA diff=0.0000 [>0.005];[FAIL] Combined Range Filter: diff=0.0000, ADX=9.29, mode=OR",,,,,,,,,,
DOT-USDT,LONG,S1,پرومتئوس (Prometheus),1.19930000,1.15132800,0.00000000,2026-09-09 07:14:48,CLOSED,TRAIL_STOP,2026-09-09 12:16:56,1.21154000,0.200000,0.820595,10.00,1.020595,"[FAIL] Candle Strength 15m: BS15=0.803 [too high - likely end of move];[FAIL] Candle Strength 5m: BS5=0.465 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.18, EMA50=1.11;[PASS] EMA Trend 4h: EMA21=1.06, EMA50=0.98, EMA200=0.87;[PASS] RSI 30m: RSI=51.14;[FAIL] MACD 30m: MACD_hist=-0.0104;[PASS] Smart Pullback: price=1.1993 EMA=1.2039 RSI=51.1 BS=0.803;[PASS] ADX: ADX=29.83 [>22], DI+=23.50, DI-=19.93;[FAIL] CCI Momentum: CCI=-104.31;[PASS] SAR: SAR=1.1882, price=1.1993;[FAIL] Stochastic: K=14.76 D=14.76;[FAIL] EMA Rejection: No rejection;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0338 [>0.005];[PASS] Combined Range Filter: diff=0.0338, ADX=29.83, mode=AND",,,,,,,,,,
DOT-USDT,LONG,S3,کرونوس (Cronus),1.19930000,1.15132800,0.00000000,2026-09-09 07:14:50,CLOSED,TRAIL_STOP,2026-09-09 12:16:56,1.21154000,0.200000,0.820595,10.00,1.020595,"[FAIL] Candle Strength 15m: BS15=0.803 [too high - likely end of move];[FAIL] Candle Strength 5m: BS5=0.465 [>= 0.6];[PASS] EMA Trend 1h: EMA21=1.18, EMA50=1.11;[PASS] EMA Trend 4h: EMA21=1.06, EMA50=0.98, EMA200=0.87;[PASS] RSI 30m: RSI=51.14;[FAIL] MACD 30m: MACD_hist=-0.0104;[PASS] Smart Pullback: price=1.1993 EMA=1.2039 RSI=51.1 BS=0.803;[PASS] ADX: ADX=29.83 [>22], DI+=23.50, DI-=19.93;[FAIL] CCI Momentum: CCI=-104.31;[PASS] SAR: SAR=1.1882, price=1.1993;[FAIL] Stochastic: K=14.76 D=14.76;[FAIL] EMA Rejection: No rejection;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[FAIL] Double Top/Bottom: No pattern;[PASS] Range Filter: EMA diff=0.0338 [>0.005];[PASS] Combined Range Filter: diff=0.0338, ADX=29.83, mode=AND",,,,,,,,,,
