signal_id,symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source,telegram_message_id,initial_sl,trail_activate,trail_lock,sl_pct,leverage,margin_usd,position_usd,max_hold_candles
20260914-071600-001,BNB-USDT,SHORT,S3,کرونوس (Cronus),721.79100000,750.66264000,0.00000000,2026-09-14 07:16:00,OPEN,,,,,,10.00,,titan_signal,8492,750.66264000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-071605-002,XAUT-USDT,SHORT,S3,کرونوس (Cronus),4329.09000000,4502.25360000,0.00000000,2026-09-14 07:16:05,CLOSED,TRAIL_STOP,2026-09-14 11:49:35,4313.01600000,0.200000,0.171302,10.00,0.371302,titan_signal,8493,4502.25360000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-071606-003,LTC-USDT,LONG,S3,کرونوس (Cronus),54.27000000,52.09920000,0.00000000,2026-09-14 07:16:06,CLOSED,TRAIL_STOP,2026-09-14 08:47:10,54.46800000,0.200000,0.164842,10.00,0.364842,titan_signal,8494,52.09920000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-071608-004,LTC-USDT,LONG,B1,هایپریون (Hyperion),54.27000000,52.09920000,0.00000000,2026-09-14 07:16:08,CLOSED,TRAIL_STOP,2026-09-14 08:47:11,54.46800000,0.200000,0.164842,10.00,0.364842,titan_signal,8495,52.09920000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260914-071609-005,DOGE-USDT,SHORT,S3,کرونوس (Cronus),0.08383000,0.08718320,0.00000000,2026-09-14 07:16:09,OPEN,,,,,,10.00,,titan_signal,8496,0.08718320,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-071617-006,ATOM-USDT,SHORT,S3,کرونوس (Cronus),1.59000000,1.65360000,0.00000000,2026-09-14 07:16:17,CLOSED,TRAIL_STOP,2026-09-14 09:13:43,1.58460000,0.200000,0.139623,10.00,0.339623,titan_signal,8497,1.65360000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-071618-007,FIL-USDT,LONG,S1,پرومتئوس (Prometheus),0.96930000,0.93052800,0.00000000,2026-09-14 07:16:18,CLOSED,TRAIL_STOP,2026-09-14 08:47:12,0.97227000,0.200000,0.106407,10.00,0.306407,titan_signal,8498,0.93052800,0.003000,0.9000,0.0400,10,10.00,100.00,72
20260914-071620-008,FIL-USDT,LONG,S3,کرونوس (Cronus),0.96930000,0.93052800,0.00000000,2026-09-14 07:16:20,CLOSED,TRAIL_STOP,2026-09-14 08:47:12,0.97227000,0.200000,0.106407,10.00,0.306407,titan_signal,8499,0.93052800,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-071621-009,FIL-USDT,LONG,B1,هایپریون (Hyperion),0.96930000,0.93052800,0.00000000,2026-09-14 07:16:21,CLOSED,TRAIL_STOP,2026-09-14 08:47:13,0.97227000,0.200000,0.106407,10.00,0.306407,titan_signal,8500,0.93052800,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260914-071626-010,INJ-USDT,LONG,S3,کرونوس (Cronus),6.17200000,5.92512000,0.00000000,2026-09-14 07:16:26,CLOSED,TRAIL_STOP,2026-09-14 07:48:44,6.21250000,0.200000,0.456189,10.00,0.656189,titan_signal,8501,5.92512000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-071627-011,INJ-USDT,LONG,B1,هایپریون (Hyperion),6.17200000,5.92512000,0.00000000,2026-09-14 07:16:27,CLOSED,TRAIL_STOP,2026-09-14 07:48:44,6.21250000,0.200000,0.456189,10.00,0.656189,titan_signal,8502,5.92512000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260914-071629-012,TIA-USDT,LONG,S3,کرونوس (Cronus),0.35890000,0.34454400,0.00000000,2026-09-14 07:16:29,CLOSED,TRAIL_STOP,2026-09-14 10:49:18,0.36007000,0.200000,0.125996,10.00,0.325996,titan_signal,8503,0.34454400,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-071633-013,OP-USDT,SHORT,S3,کرونوس (Cronus),0.09610000,0.09994400,0.00000000,2026-09-14 07:16:33,CLOSED,TRAIL_STOP,2026-09-14 08:15:35,0.09583000,0.200000,0.080957,10.00,0.280957,titan_signal,8504,0.09994400,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-074850-014,BTC-USDT,LONG,S3,کرونوس (Cronus),77573.90000000,74470.94400000,0.00000000,2026-09-14 07:48:50,CLOSED,TRAIL_STOP,2026-09-14 09:55:10,77845.07000000,0.200000,0.149563,10.00,0.349563,titan_signal,8507,74470.94400000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-074854-015,XRP-USDT,LONG,S3,کرونوس (Cronus),1.37293000,1.31801280,0.00000000,2026-09-14 07:48:54,CLOSED,TRAIL_STOP,2026-09-14 08:47:14,1.37928400,0.200000,0.262806,10.00,0.462806,titan_signal,8508,1.31801280,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-074858-016,NEAR-USDT,LONG,S3,کرونوس (Cronus),2.39150000,2.29584000,0.00000000,2026-09-14 07:48:58,CLOSED,TRAIL_STOP,2026-09-14 08:15:36,2.40203000,0.200000,0.240309,10.00,0.440309,titan_signal,8509,2.29584000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-074859-017,NEAR-USDT,LONG,B1,هایپریون (Hyperion),2.39150000,2.29584000,0.00000000,2026-09-14 07:48:59,CLOSED,TRAIL_STOP,2026-09-14 08:15:36,2.40203000,0.200000,0.240309,10.00,0.440309,titan_signal,8510,2.29584000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260914-074906-018,INJ-USDT,LONG,S3,کرونوس (Cronus),6.17200000,5.92512000,0.00000000,2026-09-14 07:49:06,CLOSED,TRAIL_STOP,2026-09-14 08:15:37,6.19090000,0.200000,0.106222,10.00,0.306222,titan_signal,8511,5.92512000,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-074908-019,INJ-USDT,LONG,B1,هایپریون (Hyperion),6.17200000,5.92512000,0.00000000,2026-09-14 07:49:08,CLOSED,TRAIL_STOP,2026-09-14 08:15:37,6.19090000,0.200000,0.106222,10.00,0.306222,titan_signal,8512,5.92512000,0.003000,0.9000,0.0400,10,10.00,100.00,96
20260914-074909-020,POL-USDT,LONG,S3,کرونوس (Cronus),0.09640000,0.09254400,0.00000000,2026-09-14 07:49:09,CLOSED,TRAIL_STOP,2026-09-14 08:15:38,0.09667000,0.200000,0.080083,10.00,0.280083,titan_signal,8513,0.09254400,0.003000,0.9000,0.0400,10,10.00,100.00,120
20260914-081555-021,NEAR-USDT,LONG,S3,کرونوس (Cronus),2.39690000,2.30102400,0.00000000,2026-09-14 08:15:55,CLOSED,TRAIL_STOP,2026-09-14 09:13:43,2.41220000,0.200000,0.438325,10.00,0.638325,titan_signal,8520,2.30102400,0.003000,0.9000,0.0400,10,10.00,100.00,120
